일시,내용,비고
5/15/2009,"우리의 임무는 국시를 지키면서 정부 정책이 제대로 추진될 수 있도록 지원, 위축됐던 국정원 업무를 좀 더 공격적으로 수행
업무수행과정에서 보수·진보 분류를 형식적·도식적으로 할 필요가 없으며, 대한민국의 정체성 확립ㆍ국정 수행이 제대로 되도록 협조하는 측과 이유없이 이를 흔들려고 하는 측을 잘 판단해야 함",
5/15/2009,불법집회나 불법노조에 대해 등한시한 부분이 있는데 원에서 관심을 가지고 정상화해야 하며 특히 일부 언론의 편향된 정부비판·좌파옹호에 대해서는 적극적으로 대처해나가야 함.,
6/19/2009,"아직도 전교조 등 종북좌파 단체들이 시민단체, 종교단체 등의 허울 뒤에 숨어 활발히 움직이므로, 국가의 중심에 서서 일한다는 각오로 더욱 분발해주기 바람.",
1/22/2010,"세종시 등 국정 현안에 대해 ‘반대를 위한 반대’를 일삼는 좌파단체들이 많은데, 보다 정공법으로 대응할 필요가 있음.
현 정부의 각종 정책은 과거 정부의 잘못된 점을 바로잡아 정상화하는 과정인데, 지나치게 정치적으로 접근하고 있음. 
우리 원이 앞장서서 대통령님과 정부 정책의 진의를 적극 홍보하고 뒷받침해야 할 것임",
1/22/2010,지방 선거도 이제 있고 좌파들이 여기 자생적인 좌파도 아니고 북한 지령받고 움직이는 사람들 아니예요 그러니까 그런 사람들에 대한 확실한 싸움을 해서...,
2/19/2010,"지방공직자들의 비리가 심각한데, 국민들이 볼 때는 정부의 비리로 생각하므로 원이 토착비리 근절에 앞장서야 함.",
3/19/2010,"일부 종교단체가 종교 본연의 모습을 벗어나 정치활동에 치중하는 것에 대해 바로잡으려는 노력이 필요함.
4월 국회에서는 주요개혁입법들이 모두 처리될 수 있도록 노력할 것.",
4/16/2010,세종시·4대강 등 주요 현안에도 원이 확실하게 중심을 잡고 대처해주기 바람.,
4/16/2010,"사실상 북한에서 지령이 내려오는게, 요번에 지방선거에서는 2012년도에 정권을 바꿀 수 있도록 다 모아라, 단일화해라 ...
그래 모으라는 거는 희망과 대안 뭐 등 다 만들지만, 어쨌든 선거에는 단일화해라 하는게 북한의 지령이라고, 북한 지령대로 움직이는 건 결국은 뭐 종북단체 아니야 ...
싸우기는 5개 6개 당으로 해가지고 하면서 이쪽에는 입 하나밖에 못쓰게 하고, ... 일반 국민이 보면 다수가 반대를 하고 어떤 정책에 대해서 한나라당만 찬성하는 것처럼 이렇게 돼 있쟎아.
그거를 다 이용당하고 있는데 우리가 이용당하고 있는지 모르고 있어. 어쨌든 이게 그런 걸 확실하게 여러분들께서 중심을 잡고 좀 일을 해주시기를 바랍니다",(2010. 6. 2. 지방선거 직전)
6/25/2010,천안함 발표가 5월 20일이고 5월 24일날 대통령께서 천안함에 대해서 국민에 대한 담화를 하시고 몇일 뒤에 바로 전쟁과 평화 하면서 야당 후보가 뭐 그런 걸 이야기했는데 ... 국정원 직원들은 제대로 거기에 대한 저거 한 번 없이 넘어갔다는 거야,(2010. 6. 2. 지방선거 직후)
7/19/2010,심리전단이 보고한 <젊은층 우군화 심리전 강화방안>은 내용 자체가 바로 우리 원이 해야 할 일이라는 점을 명심할 것.,
7/19/2010,"정상외교 성과, 경제위기 극복 등에도 불구 국내 정세는 야당의 무조건적인 반대 등으로 그 어떤 때보다 힘든 상황, 대통령님의 외교가 국내 정세와 연결될 수 있도록 원이 더욱 역할을 다해야 함",
7/19/2010,좌파교육감들이 주장하는 무상급식 문제는 한정된 재원 하에 정작 지원해주고 개선되어야 할 여타분야를 간과하는 상황이 발생할 수밖에 없으므로 이런 포퓰리즘적 허구성을 국민들에게 적극 홍보해야 함,
1/21/2011,"4대강 사업 등 국책사업이 원활히 추진되기 위해 '책 잡히는 일'이 없어야 하므로, 지역민들에게는 최대한 성의 있는 모습을 보여야 함.",
2/18/2011,"외부의 적인 북한보다 오히려 더 다루기 힘든 문제가 국내 종북좌파들로서, 앞으로 더욱 정부 흔들기를 획책할 것이므로 진행 중인 내·수사를 확실히 매듭지어 더 이상 우리 땅에 발 붙이고 살 수 없도록 만들어야 함. 종북세력 척결과 관련, 북한과 싸우는 것보다 민노총·전교조 등 국내 내부의 적과 싸우는 것이 더욱 어려우므로, 확실한 징계를 위해 직원에게 맡기기보다 지부장들이 유관기관장에게 직접 업무를 협조하기 바람. 
4대강 사업이 장마철 이전 마무리되도록 지부장들은 지원에 만전을 기하고, 공사현장의 안전문제 점검.",
5/20/2011,지난 재보선에서 천안함사건이 북한의 소행이 아니라고 주장하던 인물이 강원 지사에 당선되었다.,
5/20/2011,"지난 재보선에서 천안함 사건이 북한 소행이 아니라고 주장하던 인물이 강원지사에 당선 ...
대한민국의 정체성을 부정하는 그런 쪽의 사람들을 지지한다고 하면 전쟁은 하나마나 아니예요. 그런 쪽에 대해서 확실하게 우리가 대비를 해야 되겠다는 생각이 듭니다",(2011. 4. 27. 재보궐선거 직후)
6/17/2011,4대강 사업 시설이 미비한 부분도 있으므로 해당기관 시·도 등에서 조속 보완토록하기 바람. 특히 부산지역 등의 친수구역 조성사업은 조기 시행되어야 4대강 사업도 완성되는 것임.,
8/22/2011,"4대강 사업․제주 해군기지 건설 등 국책사업과 관련, 좌파세력 등이 ‘반대를 위한 반대’를 하고 있는데, 제주 해군기지 건설의 경우에는 이미 지난 정부에서 결정된 사안임에도 현정부를 비난하는 억지를 부리고 있음. 부서장․지부장들이 국정 현안 및 지역별 이슈 관련 타이밍을 놓치지 말고, 예방과 차단에 만전을 기하는 등 적극적으로 대처해주기 바람",
8/22/2011,"8.24 주민투표와 관련, 자유 민주주의 국가인 우리나라에서 선거는 누구나 참여하되, 각자의 의견은 투표로 보여주면 되는데 현재 투표 자체를 거부하는 일이 허용되는 것은 매우 잘못",(2011. 8. 24. 주민투표 직전)
9/16/2011,4대강 그랜드 오픈이 한달여 정도 남았는데 지역단체·언론 등을 통해 행사가 잘 마무리될 수 있도록 사전 면밀점검하고 관계기관에 지원하여 국책사업이 국민들로부터 좋은 평가 받도록 할 것.,
10/21/2011,항공기 조종사가 인터넷을 통해 종북활동을 하는 등 온라인상에서 종북사이트가 활개치고 있으므로 원 직원들이 앞장서서 인터넷 환경을 정화한다는 마음가짐으로 적극 대처해야 함. 아직도 일부 국민들은 과거 햇볕정책을 통해 북한의 위협을 막는 것이 낫다는 잘못된 의식을 갖고 있으므로 이를 바로잡는 안보교육이 절실함.,
10/21/2011,"인터넷 자체가 종북좌파 세력들이 다 잡았는데 점령하다시피 보이는데 여기에 대한 대책을 우리가 제대로 안세우고 있었다 ... 전 직원이 어쨌든간에 인터넷 자체를 청소한다. 그런 자세로 해서 그런 세력들을 끌어내야 됩니다 ... 
10월 26일날 재보선이 있는데 북한까지 나서가지고 지금 범야권 선거운동을 하고 있잖아요. 이런 것에 대한 대책도. 북한이 그럼 범야권을 지원하는 이유가 뭐겠어요 이게. 개인적으로 친해서 그런게 아니고 자기네하고 같은 걸 맞춰갈 수 있다. 과거로의 회귀를 위한 그런 것을 위해서 그런 활동을 하는 거니까 거기에 대해서도 우리가 확실한 대책을 해나가야 되겠다",(2011. 10. 26. 재보궐선거 직전)
11/18/2011,"선거기간 동안 트위터·인터넷 등에서 허위사실 유포. 확실하게 대응 안 하니 국민들이 그대로 믿는 현상 발생. 악의적 허위사실은 선거에 미치는 영향 막대. 선거가 끝나면 결과 뒤바꿀 수 없기 때문에 우리 원이 역할을 제대로 해줘야 함. 특히 종북세력들이 선거 정국을 틈타 트위터 등을 통한 허위사실 유포로 국론분열을 조장하므로, 선제적 대처해야 함.",
11/18/2011,"한미 자유무역협정(FTA) 처리 문제도 정부·여당에 대한 온갖 비난기사가 실려 여론 악화되고 난 후 수습하려는 것은 이미 늦은 것이므로 치밀한 사전 홍보대책을 수립, 시행하는 업무 자세가 필요.",
11/18/2011,"재보선에서 서울의 경우 비정당, 비한나라당 후보가 시장이 됐는데 그쪽에서 내놓은게 문제에요. 두 번째 공약이 국가보안법 철폐하겠다는 거고, 세 번째가 국가정보원 없애겠다. 이런 쪽에 있는 사람이 시장이 됐는데 우리가 위기의식을 가져야 된다 ... 트위터라든가 SNS라든가 온라인상에서 별말 다 지어지고 있어도 ... 그게 올라와있지 않느냐 그렇게 얘기를 하지. 사실이 아닌데 저 사람들은 그냥 나라를 흔들기 위해서 일부러 허위사실을 한다 이렇게 생각하는 사람이 별로 없어요 ... 
선거 전에 여론조사에 보니까 A, B 후보를 볼 때 A후보가 여성표는 10% 이기고 있었거든, 근데 결과는 7%인가 졌더라고. 진게 1억 피부샾이에요 딴게 아니고 ... 내 이야기는 혹세무민하려는게 아니고 혹세무민된 것을 정상화시키라는 얘기야. 그거를 활동을 하고 활동상황을 보고를 해요
북한은 지금 내년에 강성대국을 완성한다고 모든 걸 거기에 집중하고 있는데, 총선 결과에 따라서 자기들이 이겼다고 얘기도 할 거에요. 총선이 잘못되면 그런거에 대한 대비도 하고... 결국은 인물 아니예요 공천이 그만큼 중요하다...작년 선거 때도 보니까 보수세력이 결집하면 이길 수 있는 교육감 선거에서도 결국은 분열 때문에 졌잖아요... 
이거는 여야의 문제가 아니고 북한이 이번에 이렇게 하고 지난 선거 때도 그런 선거였고, 결국은 뭐냐, 나라의 체제를 부정하는 세력들이 협심해 덤벼드는 것이기 때문에 거기에 대한 대비를 철저히 해요. 시간이 얼마 남지도 않았고 ...",(2011. 10. 26. 재보궐선거 직후)
12/16/2011,"우리나라가 세계 9번째로 무역 1조달러를 달성하게 된 것은 정부의 성공적인 경제정책과 온 국민이 힘을 합친 결과이므로, 국민들이 이러한 성과들을 잘 인식할 수 있도록 전직원들이 더욱 노력해야 할 것임


4대강 사업 후속관리와 좌파언론 등에서 유지비용이 많이 든다고 비난하고 있는데, 재해복구비용·물 확보 등 많은 이점을 감안, 국민들에게 적극 홍보할 것.",
1/6/2012,"특히 우리의 경우 총선이 얼마 남지 않았고 연말 대선도 예정되어 있어, 적과 종북세력들이 남남 갈등 조장은 물론 주요 국정성과 폄하를 위해 준동하고 있는 상황임.
이들 공세를 차단하기 위해서는 각 부서가 관련 현안에 대해 사실을 정확히 인지하여 잘못된 주장을 반박하고 국민들이 현혹되지 않도록 업무를 수행해 나가야 할 것임",(2012. 4. 11. 총선 직전)
1/27/2012,"주택시장 침체 관련, 분양가 상한제 도입 등은 지난 정부의 정책 과오에서 비롯된 것이고 현 정부가 이를 바로 잡으려 해도 야당에서 반대하고 있는 상황임을 국민들에게 정확히 알려주어야 함",
1/27/2012,"4대강 사업 등 각종 국책사업 관련 유언비어에 정부가 올바른 설명을 하지 않으면 국민들이 사실인 양 믿어버리게 되어 국론이 분열되고 4년 동안의 성과가 무너질 수 있다는 것을 명심해야 함. 원도 훈수두기식 활동을 탈피, 국정성과 홍보 확산 실행에 주력. 정부가 지난 4년 간 국가와 국민을 위해 추진한 4대강 사업 등의 성과가 제대로 평가받을 수 있도록 해야 함.",
2/17/2012,현 정부의 성과가 국민들에게 제대로 평가를 받지 못하고 있는 실정. 정부가 국정성과를 제대로 홍보하지 못하고 야당 등의 무분별한 폄훼공세에 적극적으로 대응하지 못했기 때문,
2/17/2012,"일을 그렇게 만힝 하고도 제대로 평가를 못받는 정부가 지금 현재 이정부 같습니다. 우리 정부가 과연 홍보에 제대로 신경을 썼느냐, 정말 제대로 싸워왔느냐 그거에 대해서는 우리가 반성도 해야 된다. 그래서 계속 홍보에 대한 여러 번 지적도 하고 지시도 했는데 그게 잘안되고 있어요. 진짜 금년 한해가 아주 중요한 한해 아닙니까. 이제 총선도 있고 대선도 있고, 종북좌파들은 북한과 연계해가지고 어떻게 해든지간에 다시 정권을 잡을라 그러고, 지금 북한이 총선에서 야당되면 강성대국은 완성된다 이렇게 공개적으로 얘기했어요 ... 
야당이 되지않는 소리하면 강에 쳐박아야지 4대강 문제라 뭐 이렇게 떠들어도 뭐. 일은 죽도록 해놓고 여태까지 여러분들 보니까 일은 우리가 했는데 왜 우리 가만히 있어 ... 
북한이 공갈치니까 달래야지 우리가 또 안 다칠 것 아닙니까 이런 국민들이 다수가 되고 그게 2010년도 지방선거의 전쟁과 평화에서 봤쟎아요. 그런데도 지금도 거기서 정신 못차리고 또 아직까지 그러고 있단 말이야. 
그런 거를 우리가 좀 확실하게 조치를 하고 대응을 하는 금년 한 해가 돼야 되요. 우리 국정원은 금년에 잘 못 싸우면 국정원이 없어지는거야 여러분들 알쟎아",(2012. 4. 11. 총선 직전)
4/20/2012,"이번 선거 결과 다수의 종북인물들이 국회 진출함으로써 국가정체성 흔들기, 원에 대한 공세 예상되니 대처할 것.",
4/20/2012,"금년에 여러 가지 대선도 있고 해서, 그리고 이번에 또 13명인가? 통합진보당만도 13명이고 종북좌파들이 한 40여명이 여의도에 진출했는데 우리나라의 정체성에 대해 계속 흔들려고 할거고, 우리 원 공격도 여러 방법으로 할거예요",(2012. 4. 11. 총선 직후)
5/18/2012,"종북세력들이 사이버 공간에서 선전·선동하며 국정운영을 방해, 좌시해서는 안 됨.",
6/15/2012,"국책사업 등의 성과를 국민들에게 제대로 알려주지 못하면 종북좌파들의 현혹에 쉽게 넘어갈 수 있으므로, 종북세력 척결과 국정성과 홍보가 별개의 사안이 아니라 연결되는 문제. 국정성과를 제대로 알리는 것이 종북좌파에게 이기는 길",
6/15/2012,"북한 문제를 해결하기 위해서는 북한 뿐 아니라 국내 종북좌파를 척결하는 것은 물론 그 동조세력들도 면밀하게 점검해야 할 것임. 
종북좌파 세력들이 국회에 다수 진출하는 등 사회 제분야에서 활개치고 있는데 대해 우리 모두는 부끄럽게 생각하고 반성해야 함. 직원 모두는 새로운 각오로 이들이 우리 사회에 발붙일 수 없도록 함으로써 국정원의 존재의미를 찾아야 할 것임",(2012. 12. 19. 대선 6개월전)
8/17/2012,"국정 성과에 대한 홍보와 교육이 아직 부족하며 특히 공직자에 대한 교육(중앙부처별, 직장별 교육 강화)",
9/21/2012,"최근 무디스·피치·S&P 등 신용평가기관과 국제사회로부터 우리 경제가 긍정평가를 받은 것은 원을 비롯하여 정부 전체의 노력에 따른 성과이며, 정부의 경제정책이 성공적이었음을 입증한 것임 
최근 제주에서 개최된 세계자연보전총회시 종북좌파들이 행사장 앞에서 방해활동을 벌였는데, 이러한 국정 발목잡기는 국내는 물론 국제적으로도 인정받지 못하고 국가이미지만 훼손시키는 결과로 나타나고 있음",
11/23/2012,"최근 국제원자력기구(IAEA) 사무총장이 '한국과 같이 자원 없는 나라가 원전 활용하는 것은 현명, 관리도 잘한다'고 호평한 내용을 원전지역 주민들에게 홍보할 것.",
11/23/2012,"북한이 해외 전산망을 이용하여 사이버 도발을 모색하고 있고 종북 세력들은 사이버상에서 국정폄훼 활동을 하는 만큼 선제적으로 대응해야 함 ... 선거가 얼마 남지 않았는데, 직원들이 해야 할 일은 당당하게 하되 사소한 일에서 물의야기가 발생하지 않도록 관리에 만전",(2012. 12. 19. 대선 직전
2013년01월,"국가정보원의 할 일은 대북 첩보 수집, 종북세력 척결이며 대통령 직속기관으로서 국정과제 지원은 당연한 업무로 지금까지 우리가 걸오온 길에 대해 자부심을 가져주길 바란다.",퇴임 앞두고